"3980","MSA",,"B","FL","Lakeland-Winter Haven"
"4000","MSA",,"B","PA","Lancaster"
"4040","MSA",,"B","MI","Lansing-East Lansing"
"4080","MSA",,"C","TX","Laredo"
"4100","MSA",,"C","NM","Las Cruces"
"4120","MSA",,"B","NV","Las Vegas, NV-AZ"
"4150","MSA",,"D","KS","Lawrence"
"4160","PMSA","07","B","MA","Lawrence, MA-NH"
"4200","MSA",,"C","OK","Lawton"
"4240","MSA",,"D","ME","Lewiston-Auburn"
"4280","MSA",,"B","KY","Lexington"
"4320","MSA",,"C","OH","Lima"
"4360","MSA",,"C","NE","Lincoln"
"4400","MSA",,"B","AR","Little Rock-North Little Rock"
"4420","MSA",,"C","TX","Longview-Marshall"
"4480","PMSA","49","A","CA","Los Angeles-Long Beach"
"4520","MSA",,"B","KY","Louisville, KY-IN"
"4560","PMSA","07","B","MA","Lowell, MA-NH"
"4600","MSA",,"C","TX","Lubbock"
"4640","MSA",,"C","VA","Lynchburg"
"4680","MSA",,"B","GA","Macon"
"4720","MSA",,"B","WI","Madison"
"4760","PMSA","07","C","NH","Manchester"
"4800","MSA",,"C","OH","Mansfield"
"4840","MSA",,"C","PR","Mayaguez"
"4880","MSA",,"B","TX","McAllen-Edinburg-Mission"
"4890","MSA",,"C","OR","Medford-Ashland"
"4900","MSA",,"B","FL","Melbourne-Titusville-Palm Bay"
"4920","MSA",,"A","TN","Memphis, TN-AR-MS"
"4940","MSA",,"C","CA","Merced"
"5000","PMSA","56","A","FL","Miami"
"5015","PMSA","70","A","NJ","Middlesex-Somerset-Hunterdon"
"5080","PMSA","63","A","WI","Milwaukee-Waukesha"
"5120","MSA",,"A","MN","Minneapolis-St. Paul, MN-WI"
"5140","MSA",,"D","MT","Missoula"
"5160","MSA",,"B","AL","Mobile"
"5170","MSA",,"B","CA","Modesto"
"5190","PMSA","70","B","NJ","Monmouth-Ocean"
"5200","MSA",,"C","LA","Monroe"
"5240","MSA",,"B","AL","Montgomery"
"5280","MSA",,"C","IN","Muncie"
"5330","MSA",,"C","SC","Myrtle Beach"
"5345","MSA",,"C","FL","Naples"
"5350","PMSA","07","C","NH","Nashua"
"5360","MSA",,"B","TN","Nashville"
"5380","PMSA","70","A","NY","Nassau-Suffolk"
"5400","PMSA","07","C","MA","New Bedford"
"5480","PMSA","70","B","CT","New Haven-Meriden"
"5520","MSA",,"B","CT","New London-Norwich, CT-RI"
"5560","MSA",,"A","LA","New Orleans"
"5600","PMSA","70","A","NY","New York"
"5640","PMSA","70","A","NJ","Newark"
"5660","PMSA","70","B","NY","Newburgh, NY-PA"
"5720","MSA",,"A","VA","Norfolk-Virginia Beach-Newport News, VA-NC"
"5775","PMSA","84","A","CA","Oakland"
"5790","MSA",,"C","FL","Ocala"
"5800","MSA",,"C","TX","Odessa-Midland"
"5880","MSA",,"B","OK","Oklahoma City"
"5910","PMSA","91","C","WA","Olympia"
"5920","MSA",,"B","NE","Omaha, NE-IA"
"5945","PMSA","49","A","CA","Orange County"
"5960","MSA",,"A","FL","Orlando"
"5990","MSA",,"D","KY","Owensboro"
"6015","MSA",,"C","FL","Panama City"
"6020","MSA",,"C","WV","Parkersburg-Marietta, WV-OH"
"6080","MSA",,"B","FL","Pensacola"
"6120","MSA",,"B","IL","Peoria-Pekin"
"6160","PMSA","77","A","PA","Philadelphia, PA-NJ"
"6200","MSA",,"A","AZ","Phoenix-Mesa"
"6240","MSA",,"D","AR","Pine Bluff"
"6280","MSA",,"A","PA","Pittsburgh"
"6320","MSA",,"D","MA","Pittsfield"
"6340","MSA",,"D","ID","Pocatello"
"6360","MSA",,"B","PR","Ponce"
"6400","MSA",,"C","ME","Portland"
"6440","PMSA","79","A","OR","Portland-Vancouver, OR-WA"
"6450","PMSA","07","C","NH","Portsmouth-Rochester, NH-ME"
